8101,KABUPATEN MALUKU TENGGARA BARAT
8102,KABUPATEN MALUKU TENGGARA
8103,KABUPATEN MALUKU TENGAH
8104,KABUPATEN BURU
8105,KABUPATEN KEPULAUAN ARU
8106,KABUPATEN SERAM BAGIAN BARAT
8107,KABUPATEN SERAM BAGIAN TIMUR
8108,KABUPATEN MALUKU BARAT DAYA
8109,KABUPATEN BURU SELATAN
8171,KOTA AMBON
8172,KOTA TUAL
8201,KABUPATEN HALMAHERA BARAT
8202,KABUPATEN HALMAHERA TENGAH
8203,KABUPATEN KEPULAUAN SULA
8204,KABUPATEN HALMAHERA SELATAN
8205,KABUPATEN HALMAHERA UTARA
8206,KABUPATEN HALMAHERA TIMUR
8207,KABUPATEN PULAU MOROTAI
8208,KABUPATEN PULAU TALIABU
8271,KOTA TERNATE
8272,KOTA TIDORE KEPULAUAN
9101,KABUPATEN FAKFAK
9102,KABUPATEN KAIMANA
9103,KABUPATEN TELUK WONDAMA
9104,KABUPATEN TELUK BINTUNI
9105,KABUPATEN MANOKWARI
9106,KABUPATEN SORONG SELATAN
9107,KABUPATEN SORONG
9108,KABUPATEN RAJA AMPAT
9109,KABUPATEN TAMBRAUW
9110,KABUPATEN MAYBRAT
9111,KABUPATEN MANOKWARI SELATAN
9112,KABUPATEN PEGUNUNGAN ARFAK
9171,KOTA SORONG
9401,KABUPATEN MERAUKE
9402,KABUPATEN JAYAWIJAYA
9403,KABUPATEN JAYAPURA
9404,KABUPATEN NABIRE
9408,KABUPATEN KEPULAUAN YAPEN
9409,KABUPATEN BIAK NUMFOR
9410,KABUPATEN PANIAI
9411,KABUPATEN PUNCAK JAYA
9412,KABUPATEN MIMIKA
9413,KABUPATEN BOVEN DIGOEL
9414,KABUPATEN MAPPI
9415,KABUPATEN ASMAT
9416,KABUPATEN YAHUKIMO
9417,KABUPATEN PEGUNUNGAN BINTANG
9418,KABUPATEN TOLIKARA
9419,KABUPATEN SARMI
9420,KABUPATEN KEEROM
9426,KABUPATEN WAROPEN
9427,KABUPATEN SUPIORI
9428,KABUPATEN MAMBERAMO RAYA
9429,KABUPATEN NDUGA
9430,KABUPATEN LANNY JAYA
9431,KABUPATEN MAMBERAMO TENGAH
9432,KABUPATEN YALIMO
9433,KABUPATEN PUNCAK
9434,KABUPATEN DOGIYAI
9435,KABUPATEN INTAN JAYA
9436,KABUPATEN DEIYAI
9471,KOTA JAYAPURA
